id,scope,type,source,query,status,latency,outer_type,passed,reason,failed_checks,response
16,guest,rag_exact,rag_accuracy,Do you offer PhD programs?,OK,29.165,message,False,"missing_expected_any:['phd', 'doctoral']","missing_expected_any:['phd', 'doctoral']",I encountered an error processing your request.
19,guest,rag_exact,rag_accuracy,Where can I print documents?,OK,2.831,message,False,missing_expected_any:['print']; rag_exact_returned_no_data,missing_expected_any:['print']|rag_exact_returned_no_data,"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
15,guest,rag_exact,rag_accuracy,What is the address of the campus?,TIMEOUT,37.031,error,False,request_error,TIMEOUT,timeout
17,guest,rag_exact,rag_accuracy,Do you accept international students?,OK,34.344,message,True,ok,,"Yes, UCSI University accepts international students. For example, the Bachelor in International Business (Honours) has a fee of RM 95,374.80 for international students. Would you like to know about fees for other program"
20,guest,rag_exact,rag_accuracy,What are the entry requirements for Diploma in IT?,OK,25.552,message,True,ok,,"I am sorry, I don't have information about the Diploma in IT programme. However, I can provide information on the Diploma in Opticianry, Diploma in Pharmacy, and Diploma in Finance. Would you like to know more about any "
22,guest,rag_negative,rag_accuracy,Tell me about the Moon campus tuition,OK,17.414,message,True,ok,,"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
21,guest,rag_negative,rag_accuracy,Where is the UFO landing pad?,OK,26.661,message,False,contains_forbidden:['block'],contains_forbidden:['block'],"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
18,guest,rag_exact,rag_accuracy,Is there a swimming pool?,TIMEOUT,35.01,error,False,request_error,TIMEOUT,timeout
23,guest,rag_exact,rag_accuracy,Is there a prayer room?,OK,14.831,message,False,"missing_expected_any:['prayer', 'room']","missing_expected_any:['prayer', 'room']",I encountered an error processing your request.
25,guest,rag_exact,rag_accuracy,Can I pay fees in installments?,OK,14.613,message,False,"missing_expected_any:['installment', 'payment']; rag_exact_returned_no_data","missing_expected_any:['installment', 'payment']|rag_exact_returned_no_data","I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
24,guest,rag_exact,rag_accuracy,Is accommodation guaranteed for first year students?,OK,14.65,message,False,"missing_expected_any:['accommodation', 'hostel']; rag_exact_returned_no_data","missing_expected_any:['accommodation', 'hostel']|rag_exact_returned_no_data","I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
rw_02_print_documents,guest,rag_exact,rag_real_world,Where can I print documents?,OK,10.628,message,False,missing_expected_any:['print']; rag_exact_returned_no_data,missing_expected_any:['print']|rag_exact_returned_no_data,"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
rw_03_it_faculty_head,guest,rag_exact,rag_real_world,Who is the head of the IT faculty?,OK,21.675,message,True,ok,,"The head of the Institute of Computer Science and Digital Innovation is Professor Ts Dr Shayla Islam. Are you perhaps referring to the IT faculty, which would be the Institute of Computer Science and Digital Innovation?"
rw_01_block_a_followup,guest,rag_exact,rag_real_world,can you tell me about block A?,OK,35.438,message,True,ok,,I don't have any information about Block A in my current knowledge base. I can tell you about Block D (Coin Laundry) and Block E (Laundry Service and Gym & Pool) though.
rw_04_route_b_bus,guest,rag_exact,rag_real_world,Bus schedule for Route B,OK,28.631,message,False,"missing_expected_any:['bus', 'schedule']","missing_expected_any:['bus', 'schedule']","I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
rw_05_programme_scope,guest,rag_exact,rag_real_world,What programs does UCSI offer?,TIMEOUT,35.001,error,False,request_error,TIMEOUT,timeout
rw_07_vc_gap,guest,rag_negative,rag_real_world,Who is the Vice Chancellor?,OK,29.919,message,False,missing_expected_any:['vice chancellor']; negative_test_missing_refusal,missing_expected_any:['vice chancellor']|negative_test_missing_refusal,I encountered an error processing your request.
rw_06_library_gap,guest,rag_negative,rag_real_world,What time does the library close?,TIMEOUT,35.003,error,False,request_error,TIMEOUT,timeout
rw_08_spiderman_guard,guest,rag_negative,rag_real_world,Who is Professor Spiderman?,TIMEOUT,35.006,error,False,request_error,TIMEOUT,timeout
1,guest,factual,general_knowledge,Who is Albert Einstein?,OK,35.603,message,False,general_too_long:416,general_too_long:416,"Albert Einstein was a German-born theoretical physicist widely acknowledged as one of the greatest and most influential scientists of all time. He is best known for developing the theory of relativity, but he also made i"
2,guest,factual,general_knowledge,Who painted the Mona Lisa?,TIMEOUT,35.01,error,False,request_error,TIMEOUT,timeout
3,guest,factual,general_knowledge,What is the capital of France?,OK,32.875,message,True,ok,,The capital of France is Paris.
4,guest,factual,general_knowledge,What is photosynthesis?,TIMEOUT,37.032,error,False,request_error,TIMEOUT,timeout
5,guest,mathematical,general_knowledge,What is 2 + 2?,OK,30.746,message,True,ok,,2 + 2 is 4.
7,guest,factual,general_knowledge,What is the speed of light?,TIMEOUT,35.008,error,False,request_error,TIMEOUT,timeout
6,guest,factual,general_knowledge,What is Python programming?,TIMEOUT,37.05,error,False,request_error,TIMEOUT,timeout
8,guest,factual,general_knowledge,How many continents are there?,TIMEOUT,37.051,error,False,request_error,TIMEOUT,timeout
9,guest,factual,general_knowledge,What is the largest ocean?,OK,32.843,message,True,ok,,The largest ocean is the Pacific Ocean!
12,guest,factual,general_knowledge,What is the tallest mountain?,OK,19.242,message,False,"missing_expected_any:['everest', '에베레스트']","missing_expected_any:['everest', '에베레스트']",I encountered an error processing your request.
10,guest,factual,general_knowledge,Who wrote Romeo and Juliet?,TIMEOUT,37.028,error,False,request_error,TIMEOUT,timeout
11,guest,factual,general_knowledge,What is the formula for water?,TIMEOUT,37.022,error,False,request_error,TIMEOUT,timeout
13,guest,factual,general_knowledge,What is machine learning?,OK,27.04,message,False,general_too_long:443,general_too_long:443,"Machine learning is a branch of artificial intelligence (AI) that focuses on developing systems that can learn from and make decisions based on data, without being explicitly programmed. Essentially, you give the machine"
16,guest,factual,general_knowledge,What is the currency of Japan?,OK,25.653,message,True,ok,,The currency of Japan is the Japanese Yen (JPY).
15,guest,factual,general_knowledge,What is a black hole?,OK,30.376,message,True,ok,,"A black hole is a region in spacetime where gravity is so strong that nothing, not even light, can escape. They form from the remnants of massive stars that collapse under their own gravity. Essentially, a huge amount of"
14,guest,factual,general_knowledge,What is the capital of Italy?,TIMEOUT,35.003,error,False,request_error,TIMEOUT,timeout
17,guest,creative,general_knowledge,Translate 'Hello' to French,OK,29.806,message,True,ok,,"Hello in French is ""Bonjour""."
18,guest,factual,general_knowledge,What is the meaning of life?,OK,23.038,message,True,ok,,"That's a big question! The meaning of life is something people have pondered for centuries. There isn't one single answer, as it's often a deeply personal and philosophical concept. Some find meaning in relationships, ot"
20,guest,factual,general_knowledge,Who won the World Cup in 2022?,OK,19.782,message,True,ok,,Argentina won the World Cup in 2022!
19,guest,practical,general_knowledge,How do I cook pasta?,OK,22.341,message,False,markdown_format_leak; general_too_long:727,markdown_format_leak|general_too_long:727,"Okay, here's a basic guide to cooking pasta! 

1. **Boil Water:** Bring a large pot of salted water to a rolling boil. Use plenty of water – about 6 quarts (5.7 liters) for a pound (450g) of pasta.
2. **Add Pasta:** Add "
auth_01_guest_personal_gate,guest,auth_guard,strict_auth_intent,where am I from?,OK,14.898,login_hint,True,ok,,Please login to access personal information.
auth_02_auth_nationality_only,auth,personal_scope,strict_auth_intent,where am I from?,OK,17.535,message,True,ok,,"Here is your profile information.

Nationality: China"
auth_03_auth_grade_requires_2fa,auth,auth_guard,strict_auth_intent,can you tell me about my GPA?,OK,29.246,password_prompt,True,ok,,Please verify your password to access GPA/grade information.
auth_04_auth_profile_safe_summary,auth,personal_scope,strict_auth_intent,can you tell me about my information?,OK,16.095,message,False,"missing_require_all:['student_number:', 'student_name:', 'programme_name:']","missing_require_all:['student_number:', 'student_name:', 'programme_name:']","Here is your profile information.

Student Number: 5004273609
Student Name: Gomana Wern Rou
Nationality: China
Gender: Female
Programme: Bachelor of Computer Science (Honours)
Profile Status: Active
Intake: 2024-05
Date "
auth_05_guest_general_no_auth_prompt,guest,general_guard,strict_auth_intent,What is Python programming?,OK,29.775,message,False,"missing_require_any:['programming', 'language']","missing_require_any:['programming', 'language']",I encountered an error processing your request.
